method                  scope          nQ    R@1    R@5    mAP  DIR@FAR.1  pairF1   assF1  scored  total_s
----------------------------------------------------------------------------------------------------------
DeiT                    crop          280  0.621  0.879  0.497      0.250   0.305   0.381    1.00     72.6
SIFT                    crop          280  0.432  0.829  0.417      0.036   0.313   0.324    1.00     33.3
ORB                     crop          280  0.352  0.759  0.364      0.018   0.305   0.325    1.00     15.6
registration+chamfer    full-image    280  0.920  0.956  0.862      0.768   0.645   0.769    0.50   3939.6
LoFTR                   crop          280  0.549  0.824  0.441      0.336   0.359   0.401    1.00   2331.1
YOLOv8-backbone         crop          280  0.561  0.821  0.453      0.157   0.356   0.364    1.00      4.6
ViT                     crop          280  0.654  0.893  0.511      0.286   0.331   0.392    1.00    238.4
CLIP                    crop          280  0.604  0.850  0.471      0.143   0.307   0.367    1.00     63.9
OSNet                   crop          280  0.654  0.907  0.520      0.168   0.309   0.388    1.00      1.8
CrackShape              crop          280  0.554  0.825  0.442      0.082   0.305   0.346    1.00      0.9
SuperGlue               crop          280  0.555  0.893  0.453      0.414   0.353   0.352    1.00   1594.0
